AA_-3|1	47
AA_-3|2	484
AA_-3|3	1851
AA_-3|4	657
AA_-2|1	43
AA_-2|2	477
AA_-2|3	1899
AA_-2|4	747
AA_-1|1	35
AA_-1|2	478
AA_-1|3	1832
AA_-1|4	800
AA_0|1	697
AA_0|2	5937
AA_0|3	20436
AA_0|4	6949
AA_1|1	33
AA_1|2	494
AA_1|3	1889
AA_1|4	729
AA_2|1	48
AA_2|2	440
AA_2|3	1906
AA_2|4	772
AA_3|1	42
AA_3|2	439
AA_3|3	1774
AA_3|4	784
AR_-3|1	38
AR_-3|2	345
AR_-3|3	1000
AR_-3|4	354
AR_-2|1	42
AR_-2|2	281
AR_-2|3	1100
AR_-2|4	383
AR_-1|1	33
AR_-1|2	323
AR_-1|3	1044
AR_-1|4	284
AR_0|1	1
AR_0|2	1
AR_0|3	1
AR_0|4	1
AR_1|1	28
AR_1|2	310
AR_1|3	1114
AR_1|4	397
AR_2|1	27
AR_2|2	320
AR_2|3	1178
AR_2|4	413
AR_3|1	45
AR_3|2	378
AR_3|3	1142
AR_3|4	251
AN_-3|1	31
AN_-3|2	262
AN_-3|3	743
AN_-3|4	206
AN_-2|1	34
AN_-2|2	280
AN_-2|3	749
AN_-2|4	213
AN_-1|1	53
AN_-1|2	257
AN_-1|3	851
AN_-1|4	171
AN_0|1	1
AN_0|2	1
AN_0|3	1
AN_0|4	1
AN_1|1	48
AN_1|2	318
AN_1|3	785
AN_1|4	176
AN_2|1	31
AN_2|2	230
AN_2|3	845
AN_2|4	240
AN_3|1	36
AN_3|2	234
AN_3|3	968
AN_3|4	273
AD_-3|1	29
AD_-3|2	407
AD_-3|3	1122
AD_-3|4	242
AD_-2|1	61
AD_-2|2	487
AD_-2|3	1036
AD_-2|4	291
AD_-1|1	84
AD_-1|2	417
AD_-1|3	1200
AD_-1|4	233
AD_0|1	1
AD_0|2	1
AD_0|3	1
AD_0|4	1
AD_1|1	97
AD_1|2	523
AD_1|3	1132
AD_1|4	212
AD_2|1	54
AD_2|2	379
AD_2|3	1073
AD_2|4	331
AD_3|1	40
